# STATION: KSJC
# STATION NAME: San Jose, San Jose International Airport
# LATITUDE: 37.35917
# LONGITUDE: -121.92417
# ELEVATION [ft]: 59
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,sea_level_pressure_set_1,precip_accum_one_hour_set_1,visibility_set_1,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,Pascals,Celsius,Celsius,%,m/s,Degrees,Pascals,Millimeters,Statute miles,Celsius,Pascals,Pascals
KSJC,12/30/2020 05:50 PST,102810.71,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102592.41,102820.84
KSJC,12/30/2020 05:53 PST,102810.71,2.8,-1.7,72.22,0.0,0.0,102800.0,,10.0,-1.77,102592.41,102821.01
KSJC,12/30/2020 05:55 PST,102810.71,2.0,,74.78,0.0,0.0,,,10.0,-2.06,102592.41,102821.67
KSJC,12/30/2020 06:00 PST,102810.71,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102592.41,102820.84
KSJC,12/30/2020 06:05 PST,102810.71,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102592.41,102820.84
KSJC,12/30/2020 06:10 PST,102810.71,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102592.41,102820.84
KSJC,12/30/2020 06:15 PST,102776.84,3.0,,69.64,1.54,180.0,,,10.0,-2.07,102558.62,102786.98
KSJC,12/30/2020 06:20 PST,102776.84,3.0,,69.64,1.54,170.0,,,10.0,-2.07,102558.62,102786.98
KSJC,12/30/2020 06:25 PST,102810.71,3.0,,69.64,1.54,170.0,,,10.0,-2.07,102592.41,102820.84
KSJC,12/30/2020 06:30 PST,102776.84,3.0,,69.64,2.06,160.0,,,10.0,-2.07,102558.62,102786.98
KSJC,12/30/2020 06:35 PST,102776.84,2.0,,74.78,2.06,150.0,,,10.0,-2.06,102558.62,102787.81
KSJC,12/30/2020 06:40 PST,102776.84,1.0,,74.6,2.57,150.0,,,10.0,-3.06,102558.62,102788.64
KSJC,12/30/2020 06:45 PST,102742.98,1.0,,74.6,3.09,150.0,,,10.0,-3.06,102524.83,102754.78
KSJC,12/30/2020 06:50 PST,102709.12,1.0,,80.34,4.63,150.0,,,10.0,-2.05,102491.04,102720.91
KSJC,12/30/2020 06:53 PST,102675.25,1.7,-2.2,75.28,4.63,150.0,102680.0,,10.0,-2.26,102457.24,102686.45
KSJC,12/30/2020 06:55 PST,102675.25,2.0,,74.78,4.12,150.0,,,10.0,-2.06,102457.24,102686.2
KSJC,12/30/2020 07:00 PST,102675.25,2.0,,74.78,3.09,150.0,,,10.0,-2.06,102457.24,102686.2
KSJC,12/30/2020 07:05 PST,102641.39,2.0,,74.78,4.12,150.0,,,10.0,-2.06,102423.45,102652.34
KSJC,12/30/2020 07:10 PST,102675.25,3.0,,74.96,3.6,160.0,,,10.0,-1.06,102457.24,102685.37
KSJC,12/30/2020 07:15 PST,102675.25,3.0,,74.96,3.6,170.0,,,10.0,-1.06,102457.24,102685.37
KSJC,12/30/2020 07:20 PST,102675.25,3.0,,74.96,2.57,160.0,,,10.0,-1.06,102457.24,102685.37
KSJC,12/30/2020 07:25 PST,102675.25,3.0,,69.64,2.57,150.0,,,10.0,-2.07,102457.24,102685.37
KSJC,12/30/2020 07:30 PST,102675.25,3.0,,74.96,2.06,160.0,,,10.0,-1.06,102457.24,102685.37
KSJC,12/30/2020 07:35 PST,102709.12,3.0,,74.96,1.54,170.0,,,10.0,-1.06,102491.04,102719.25
KSJC,12/30/2020 07:40 PST,102742.98,3.0,,74.96,1.54,220.0,,,10.0,-1.06,102524.83,102753.11
KSJC,12/30/2020 07:45 PST,102742.98,3.0,,74.96,2.06,230.0,,,10.0,-1.06,102524.83,102753.11
KSJC,12/30/2020 07:50 PST,102742.98,3.0,,74.96,0.0,0.0,,,10.0,-1.06,102524.83,102753.11
